Title;Release Date;Genre;Director;IMDB Description;Rating
10 Things I Hate About You;1999-03-31;Comedy,Drama,Rom Com,Romance,Teen;Gil Junger;A high-school boy, Cameron, cannot date Bianca until her anti-social older sister, Kat, has a boyfriend. So, Cameron pays a mysterious boy, Patrick, to charm Kat.;5
Bullet Train;2022-08-05;Action,Comedy,Thriller;David Leitch;Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.;4
Five Nights at Freddy's;2023-10-27;Based on a Game,Horror,Mystery,Thriller;Emma Tammi;A troubled security guard begins working at Freddy Fazbear's Pizza. During his first night on the job, he realizes that the night shift won't be so easy to get through. Pretty soon he will unveil what actually happened at Freddy's.;3
Four Christmases;2008-11-26;Christmas,Comedy,Drama,Rom Com,Romance; Seth Gordon; A couple struggles to visit all four of their divorced parents on Christmas.;1
Fred Claus;2007-11-09;Comedy,Family,Fantasy;David Dobkin;Fred Claus, Santa's bitter older brother, is forced to move to the North Pole to help Santa and the elves prepare for Christmas in exchange for cash.;3
Gremlins;1984-06-08;Christmas,Comedy,Horror,Thriller;Joe Dante;A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.;5
Harry Potter and the Chamber of Secrets;2002-11-14;Adventure,Based on a Book,Family,Fantasy;Chris Columbus;An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.;3
Harry Potter and the Deathly Hallows: Part 1;2010-11-19;Action,Adventure,Based on a Book,Family,Fantasy,Teen;David Yates;As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.;3
Harry Potter and the Deathly Hallows: Part 2;2011-07-15;Action,Adventure,Based on a Book,Family,Fantasy,Teen;David Yates;Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.;4
Harry Potter and the Goblet of Fire;2005-11-18;Adventure,Based on a Book,Family,Fantasy,Teen;Mike Newell;Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.;3
Harry Potter and the Half-Blood Prince;2009-07-15;Action,Adventure,Based on a Book,Family,Fantasy,Teen;David Yates;"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.";4
Harry Potter and the Order of the Phoenix;2007-07-11;Action,Adventure,Based on a Book,Family,Fantasy,Teen;David Yates;With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.;4
Harry Potter and the Prisoner of Azkaban;2004-06-04;Adventure,Based on a Book,Family,Fantasy;Alfonso Cuarón;Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.;3
Harry Potter and the Sorcerer's Stone;2001-11-16;Adventure,Based on a Book,Family,Fantasy;Chris Columbus;An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.;5
Home Alone;1990-11-16;Christmas,Comedy,Crime,Family;Chris Columbus;An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.;4
Home Alone 2: Lost in New York;1992-11-15;Adventure,Christmas,Comedy,Crime,Family;Chris Columbus;One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.;3
Last Holiday;2006-01-13;Comedy,Drama,Romance,Rom Com;Wayne Wang;Upon learning of a terminal illness, a shy woman decides to sell all her possessions and live it up at a posh Central European hotel.;5
National Lampoon'S Christmas Vacation;1989-12-01;Christmas,Comedy;Jeremiah S. Chechik;The Griswold family's plans for a big family christmas predictably turn into a big disaster.;4
National Lampoon'S Vacation;1983-07-29;Adventure,Comedy;Harold Ramis;The Griswold family's cross-country drive to the Walley World theme park proves to be much more arduous than they ever anticipated.;4
Not Another Teen Movie;2001-12-07;Comedy,Teen;Joel Gallen;A sendup of all the teen movies that have accumulated in the past two decades.;4
The Fast and the Furious;2001-06-22;Action,Crime,Thriller;Rob Cohen;Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.;5
The Hunger Games;2012-03-23;Action,Adventure,Based on a Book,Sci-Fi,Teen;Gary Ross;Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.;5
The Hunger Games: Catching Fire;2013-11-20;Action,Adventure,Based on a Book,Sci-Fi,Teen;Francis Lawrence;Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.;4
The Hunger Games: Mockingjay: Part 1;2014-11-21;Action,Adventure,Based on a Book,Sci-Fi,Teen;Francis Lawrence;Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.;3
The Hunger Games: Mockingjay: Part 2;2015-11-20;Action,Adventure,Based on a Book,Sci-Fi,Teen;Francis Lawrence;Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.;4
The Santa Clause;1994-11-11;Christmas,Comedy,Drama,Family;John Pasquin;When A Man Inadvertently Makes Santa Fall Off His Roof On Christmas Eve, He Finds Himself Magically Recruited To Take His Place.;4
The Santa Clause 2;2002-11-01;Christmas,Comedy,Family,Fantasy;Michael Lembeck;Scott Calvin Has Been A Humble Santa Claus For Eight Years, But It Might Come To An End If He Doesn'T Find A Mrs. Claus.;3
Vengence;2022-07-29;Comedy,Mystery,Thriller;B.J. Novak;Months after a few one night stands, New York City writer Ben finds out a girl he barely knows has died. He's talked into flying to the middle of nowhere in Texas for her funeral where her brother vows to find out who killed her... and seek vengeance.;5
